player,date,height,size,thickness,gap,length_px,width_px,near_px,far_px
donk,2026-08-31,720,1,1,-4,1,1,0,1
donk,2026-08-31,768,1,1,-4,1,1,0,1
donk,2026-08-31,960,1,1,-4,2,2,1,2
donk,2026-08-31,1024,1,1,-4,2,2,1,2
donk,2026-08-31,1080,1,1,-4,2,2,1,2
donk,2026-08-31,1440,1,1,-4,3,3,1,2
donk,2026-08-31,2160,1,1,-4,4,4,2,3
ZywOo,2026-09-04,720,2,0,-3,3,1,1,2
ZywOo,2026-09-04,768,2,0,-3,3,1,1,2
ZywOo,2026-09-04,960,2,0,-3,4,1,1,2
ZywOo,2026-09-04,1024,2,0,-3,4,1,1,2
ZywOo,2026-09-04,1080,2,0,-3,4,1,1,2
ZywOo,2026-09-04,1440,2,0,-3,6,1,1,2
ZywOo,2026-09-04,2160,2,0,-3,9,1,1,2
s1mple,2026-05-21,720,1,1,-4.5,1,1,0,1
s1mple,2026-05-21,768,1,1,-4.5,1,1,0,1
s1mple,2026-05-21,960,1,1,-4.5,2,2,1,2
s1mple,2026-05-21,1024,1,1,-4.5,2,2,1,2
s1mple,2026-05-21,1080,1,1,-4.5,2,2,1,2
s1mple,2026-05-21,1440,1,1,-4.5,3,3,1,2
s1mple,2026-05-21,2160,1,1,-4.5,4,4,2,3
NiKo,2026-09-04,720,0,2,-4,0,3,1,2
NiKo,2026-09-04,768,0,2,-4,0,3,1,2
NiKo,2026-09-04,960,0,2,-4,0,4,2,3
NiKo,2026-09-04,1024,0,2,-4,0,4,2,3
NiKo,2026-09-04,1080,0,2,-4,0,4,2,3
NiKo,2026-09-04,1440,0,2,-4,0,6,3,4
NiKo,2026-09-04,2160,0,2,-4,0,9,4,5
m0NESY,2026-09-04,720,1,1,-4,1,1,0,1
m0NESY,2026-09-04,768,1,1,-4,1,1,0,1
m0NESY,2026-09-04,960,1,1,-4,2,2,1,2
m0NESY,2026-09-04,1024,1,1,-4,2,2,1,2
m0NESY,2026-09-04,1080,1,1,-4,2,2,1,2
m0NESY,2026-09-04,1440,1,1,-4,3,3,1,2
m0NESY,2026-09-04,2160,1,1,-4,4,4,2,3
ropz,2026-09-04,720,2,0.5,-3,3,1,1,2
ropz,2026-09-04,768,2,0.5,-3,3,1,1,2
ropz,2026-09-04,960,2,0.5,-3,4,1,1,2
ropz,2026-09-04,1024,2,0.5,-3,4,1,1,2
ropz,2026-09-04,1080,2,0.5,-3,4,1,1,2
ropz,2026-09-04,1440,2,0.5,-3,6,1,1,2
ropz,2026-09-04,2160,2,0.5,-3,9,2,2,3
XANTARES,2026-09-20,720,3,0.5,0,4,1,4,5
XANTARES,2026-09-20,768,3,0.5,0,4,1,4,5
XANTARES,2026-09-20,960,3,0.5,0,6,1,4,5
XANTARES,2026-09-20,1024,3,0.5,0,6,1,4,5
XANTARES,2026-09-20,1080,3,0.5,0,6,1,4,5
XANTARES,2026-09-20,1440,3,0.5,0,9,1,4,5
XANTARES,2026-09-20,2160,3,0.5,0,13,2,5,6
karrigan,2026-08-27,720,1.5,1,-3,2,1,1,2
karrigan,2026-08-27,768,1.5,1,-3,2,1,1,2
karrigan,2026-08-27,960,1.5,1,-3,3,2,2,3
karrigan,2026-08-27,1024,1.5,1,-3,3,2,2,3
karrigan,2026-08-27,1080,1.5,1,-3,3,2,2,3
karrigan,2026-08-27,1440,1.5,1,-3,4,3,2,3
karrigan,2026-08-27,2160,1.5,1,-3,6,4,3,4
